month,day,player,year_born,years_played,games_played,field_goals,field_goal_attempts,3point_field_goals,3point_field_goal_attempts,free_throws,free_throw_attempts,offensive_rebounds,steals,blocks,turnovers,personal_fouls,win_shares,field_goal_percent,3point_field_goal_percent,free_throw_percent,minutes_played_per_game,points_per_game,total_rebounds_per_game,assists_per_game,points,minutes_played,total_rebounds,assists,age,city,region,position,college,team_recent,dunkattempts,championship,sex,status,height_default,height_cm,weight_kg,weight_lb
January,1,Jimmy Jones,1945,10,686,4344,8530,10,40,2668,3398,683,265,47,1783,1995,78.8,0.509,,0.785,34.2,16.6,4.3,4.5,11366,23463,2930,3069,80, Tallulah, Louisiana,Point Guard,Grambling State University,Washington Bullets,,no,male,Alive,6-4,193,85,188
January,1,Jimmy Jones,1945,10,686,4344,8530,10,40,2668,3398,683,265,47,1783,1995,78.8,0.509,,0.785,34.2,16.6,4.3,4.5,11366,23463,2930,3069,80, Tallulah, Louisiana,Shooting Guard,Grambling State University,Washington Bullets,,no,male,Alive,6-4,193,85,188
January,1,Steve Kramer,1945,3,124,380,885,1,8,287,368,65,,,207,315,4.3,0.429,0.125,0.78,18.5,8.5,2.5,1.9,1048,2288,310,236,80, Sandy, Utah,Shooting Guard,BYU,Carolina Cougars,,no,male,Alive,6-5,196,90,200
January,1,Ronnie Lester,1959,6,250,679,1449,5,22,453,575,148,187,32,474,395,6.3,0.469,0.227,0.788,19.8,7.3,1.9,4,1816,4959,473,1003,66, Canton, Mississippi,Point Guard,Iowa,Chicago Bulls,,yes,male,Alive,6-2,188,79,175
January,1,John Logan,1921,5,258,1128,3621,,,947,1235,,,,,744,27.8,0.312,,0.767,,12.4,4.5,3,12.4,,4.5,3,56, Richmond, Indiana,Guard,Indiana,St. Louis Bombers,,no,male,Dead,6-2,188,79,175
January,1,Bones McKinney,1919,6,318,1145,3844,,,704,990,,,,,1023,15.4,0.298,,0.711,17.2,9.4,3.5,1.6,2994,1083,373,503,78, Lowlands, North Carolina,Small Forward,UNC,Washington Capitols,,no,male,Dead,6-6,198,83,185
January,1,Mike Mitchell,1956,10,759,6371,12912,19,88,2255,2894,1539,530,400,1300,2012,50.2,0.493,,0.779,32.3,19.8,5.6,1.3,15016,24537,4246,1010,55, Atlanta, Georgia,Small Forward,Auburn,San Antonio Spurs,,no,male,Dead,6-7,201,97,215
January,1,Larry Nance Jr.,1993,10,537,1702,3143,233,656,507,726,998,617,266,499,1138,34.5,0.542,0.355,0.698,23.1,7.7,6.1,1.9,4204,12587,3341,1017,32, Akron, Ohio,Power Forward,Wyoming,Atlanta Hawks,575,no,male,Alive,6-8,203,111,245
January,1,Larry Nance Jr.,1993,10,537,1702,3143,233,656,507,726,998,617,266,499,1138,34.5,0.542,0.355,0.698,23.1,7.7,6.1,1.9,4204,12587,3341,1017,32, Akron, Ohio,Center,Wyoming,Atlanta Hawks,575,no,male,Alive,6-8,203,111,245
January,1,Glen Rice Jr.,1991,2,16,14,52,6,24,9,13,6,6,1,11,18,-0.2,0.269,0.25,0.692,9.5,2.7,1.5,0.6,43,152,24,9,34, Miami, Florida,Shooting Guard,Georgia Tech,Washington Wizards,4,no,male,Alive,6-6,198,93,206
January,1,Tony Robertson,1956,2,75,183,421,,,43,62,21,82,5,96,143,0.4,0.435,,0.694,13.4,5.5,1.1,1.4,409,1003,80,107,69, Detroit, Michigan,Shooting Guard,West Virginia,Golden State Warriors,,no,male,Alive,6-4,193,88,195
January,1,Sam Robinson,1948,2,134,531,1196,4,21,157,202,201,,,118,252,1.9,0.444,0.19,0.777,21.3,9.1,4.1,1.2,1223,2858,546,160,77, Los Angeles, California,Small Forward,,The Floridians,,no,male,Alive,6-7,201,86,190
January,1,Al Sanders,1950,1,4,2,2,0,0,4,6,0,,,3,4,0.1,1,,0.667,6.3,2,1.3,0,8,25,5,0,44, Baton Rouge, Louisiana,Power Forward,LSU,Virginia Squires,,no,male,Dead,6-7,201,108,240
January,1,Alan Sawyer,1928,1,33,87,235,,,43,50,,,,,75,0.9,0.37,,0.86,,6.6,3.7,0.8,6.6,,3.7,0.8,84, Long Beach, California,Forward,UCLA,Washington Capitols,,no,male,Dead,6-5,196,88,195
January,1,Tiago Splitter,1985,7,355,1073,1932,2,14,668,958,576,198,209,384,685,25.3,0.555,0.143,0.697,19.2,7.9,5,1.2,2816,6812,1779,423,40, Joinville, Brazil,Center,,San Antonio Spurs,156,yes,male,Alive,6-11,211,111,245
January,1,Tiago Splitter,1985,7,355,1073,1932,2,14,668,958,576,198,209,384,685,25.3,0.555,0.143,0.697,19.2,7.9,5,1.2,2816,6812,1779,423,40, Joinville, Brazil,Power Forward,,San Antonio Spurs,156,yes,male,Alive,6-11,211,111,245
January,1,Jeff Taylor,1960,2,56,70,170,0,1,39,56,26,42,16,68,86,-0.1,0.412,0,0.696,14.6,3.2,1.5,2,179,818,82,113,, Blytheville, Arkansas,Shooting Guard,Texas Tech,Detroit Pistons,,no,male,,6-4,193,79,175
January,1,Margold Clark,1971,1,4,3,6,0,1,1,2,0,1,1,2,9,0,0.5,0,0.5,11.5,1.8,1.5,0.3,7,46,6,1,54, Chicago, Illinois,Forward-Center,Arizona,Sacramento Monarchs,0,no,female,Alive,6-3,190,,
January,1,Brandi Davis,1983,1,14,14,53,7,33,6,10,1,5,1,5,11,0,0.264,0.212,0.6,8.4,2.9,0.9,0.6,41,118,13,8,42, Compton, California,Guard,Oregon,Los Angeles Sparks,0,no,female,Alive,6-0,183,78,172
January,1,Bridget Pettis,1971,8,228,456,1339,154,571,342,423,175,178,31,285,348,9,0.341,0.27,0.809,17.1,6.2,2,1.4,1408,3902,456,316,54, East Chicago, Indiana,Guard,Florida,Indiana Fever,0,no,female,Alive,5-9,175,68,150
January,2,Jonah Bolden,1996,2,51,84,173,34,100,15,31,50,20,41,38,109,1.4,0.486,0.34,0.484,13.5,4.3,3.4,0.8,217,686,174,40,29, Melbourne, Australia,Center,UCLA,Philadelphia 76ers,14,yes,male,Alive,6-8,203,99,220
January,2,Jonah Bolden,1996,2,51,84,173,34,100,15,31,50,20,41,38,109,1.4,0.486,0.34,0.484,13.5,4.3,3.4,0.8,217,686,174,40,29, Melbourne, Australia,Power Forward,UCLA,Philadelphia 76ers,14,yes,male,Alive,6-8,203,99,220
January,2,Bob Feerick,1920,4,221,1077,2977,,,782,972,,,,,592,41.7,0.362,,0.805,,13.3,,2,13.3,,,2,56, San Francisco, California,Forward,Santa Clara,Washington Capitols,,no,male,Dead,6-3,190,86,190
January,2,Bob Feerick,1920,4,221,1077,2977,,,782,972,,,,,592,41.7,0.362,,0.805,,13.3,,2,13.3,,,2,56, San Francisco, California,Guard,Santa Clara,Washington Capitols,,no,male,Dead,6-3,190,86,190
January,2,Gerald Govan,1942,9,681,2142,5288,5,24,962,1419,1564,139,97,1617,2032,27,0.405,0.208,0.678,33.7,7.7,10.5,3.2,5251,22925,7119,2164,83, Jersey City, New Jersey,Center,Saint Mary of the Plains College,Utah Stars,,no,male,Alive,6-10,208,99,220
January,2,Gerald Govan,1942,9,681,2142,5288,5,24,962,1419,1564,139,97,1617,2032,27,0.405,0.208,0.678,33.7,7.7,10.5,3.2,5251,22925,7119,2164,83, Jersey City, New Jersey,Power Forward,Saint Mary of the Plains College,Utah Stars,,no,male,Alive,6-10,208,99,220
January,2,Luke Harangody,1988,2,70,102,271,21,87,28,38,60,21,20,20,97,0.9,0.376,0.241,0.737,12.4,3.6,2.8,0.5,253,871,196,36,37, Decatur, Illinois,Power Forward,Notre Dame,Cleveland Cavaliers,1,no,male,Alive,6-8,203,111,246
January,2,Kirk Hinrich,1981,13,879,3503,8522,1172,3122,1416,1770,310,972,243,1617,2487,52.5,0.411,0.375,0.8,30.7,10.9,2.9,4.8,9594,27015,2576,4245,44, Sioux City, Iowa,Point Guard,Kansas,Chicago Bulls,4,no,male,Alive,6-4,193,86,190
January,2,Kirk Hinrich,1981,13,879,3503,8522,1172,3122,1416,1770,310,972,243,1617,2487,52.5,0.411,0.375,0.8,30.7,10.9,2.9,4.8,9594,27015,2576,4245,44, Sioux City, Iowa,Shooting Guard,Kansas,Chicago Bulls,4,no,male,Alive,6-4,193,86,190
January,2,Georgios Kalaitzakis,1999,1,13,31,67,10,26,14,30,6,11,2,20,19,-0.1,0.463,0.385,0.467,16.5,6.6,1.6,0.9,86,214,21,12,26, Heraklion, Greece,Small Forward,,Oklahoma City Thunder,4,no,male,Alive,6-8,203,87,192
January,2,Ed Manning,1944,9,604,1518,3392,1,8,504,660,406,137,27,326,1439,14.6,0.448,,0.764,16.9,5.9,4.5,0.8,3541,10234,2717,494,67, Summit, Mississippi,Small Forward,Jackson State University,Carolina Cougars,,no,male,Dead,6-7,201,95,210
January,2,Ed Manning,1944,9,604,1518,3392,1,8,504,660,406,137,27,326,1439,14.6,0.448,,0.764,16.9,5.9,4.5,0.8,3541,10234,2717,494,67, Summit, Mississippi,Power Forward,Jackson State University,Carolina Cougars,,no,male,Dead,6-7,201,95,210
January,2,Xavier Moon,1995,3,28,43,106,8,34,4,7,10,10,6,12,19,0.3,0.406,0.235,0.571,9.9,3.5,1.3,1.8,98,276,35,50,30, Goodwater, Alabama,Shooting Guard,,Los Angeles Clippers,0,no,male,Alive,6-2,188,74,165
January,2,Randolph Morris,1986,4,74,52,122,0,0,36,66,27,13,7,30,100,-0.1,0.426,,0.545,5.9,1.9,1.4,0.1,140,438,104,7,39, Houston, Texas,Center,Kentucky,Atlanta Hawks,,no,male,Alive,6-10,208,120,266
January,2,Randolph Morris,1986,4,74,52,122,0,0,36,66,27,13,7,30,100,-0.1,0.426,,0.545,5.9,1.9,1.4,0.1,140,438,104,7,39, Houston, Texas,Power Forward,Kentucky,Atlanta Hawks,,no,male,Alive,6-10,208,120,266
January,2,Mike Newlin,1949,11,837,4720,10133,62,205,3005,3456,559,702,58,878,2542,50.4,0.466,,0.87,29.4,14.9,3,4,12507,24574,2494,3364,76, Portland, Oregon,Shooting Guard,Utah,Houston Rockets,,no,male,Alive,6-4,193,90,200
January,2,Irving Thomas,1966,1,26,17,50,0,0,12,21,14,4,1,13,24,-0.1,0.34,,0.571,4.2,1.8,1.2,0.4,46,108,31,10,59, Brooklyn, New York,Power Forward,,Los Angeles Lakers,,no,male,Alive,6-8,203,102,225
January,2,Chris Welp,1964,3,109,140,314,0,1,79,116,88,34,54,66,259,1,0.446,0,0.681,10.8,3.3,2.4,0.4,359,1173,265,43,51, Delmenhorst, Germany,Center,Washington,Philadelphia 76ers,,no,male,Dead,7-0,213,111,245
January,2,Aaron Wiggins,1999,4,242,721,1418,211,543,206,262,223,158,55,204,352,10.3,0.508,0.389,0.786,19.3,7.7,3,1.3,2095,5023,789,327,26, Greensboro, North Carolina,Shooting Guard,Maryland,Oklahoma City Thunder,58,no,male,Alive,6-6,198,90,200
January,2,Michael Young,1961,3,49,94,202,8,27,27,38,37,25,3,15,47,1.1,0.465,0.296,0.711,9.6,4.6,1.8,0.5,223,472,88,24,64, Houston, Texas,Small Forward,Houston,Los Angeles Clippers,,no,male,Alive,6-7,201,99,220
January,2,Lisa Harrison,1971,6,187,467,1003,14,41,177,228,222,157,20,197,338,10,0.466,0.341,0.776,24.2,6,3.6,1.2,1125,4527,673,227,54, Louisville, Kentucky,Forward,Tennessee,Phoenix Mercury,0,no,female,Alive,6-1,185,74,164
January,2,Li Meng,1995,1,34,62,164,44,121,22,26,6,10,1,28,38,0.5,0.378,0.364,0.846,15.9,5.6,1.1,1,190,539,36,35,30, Shenyang, China,Guard,,Washington Mystics,0,no,female,Alive,6-0,183,89,198
January,3,Deni Avdija,2001,5,328,1237,2702,351,1068,581,784,284,258,148,499,813,11.1,0.458,0.329,0.741,26.5,10.4,6,2.6,3646,9106,2067,920,24, Beit Zera, Israel,Small Forward,,Portland Trail Blazers,103,yes,male,Alive,6-9,206,95,210
